GEOID,C17002e1,C17002e2,C17002e3,lowmod_pct,poverty
15000US100010402031,3670,148,386,60.39,high_poverty
15000US100010405022,1356,2,53,39.42,low_poverty
15000US100010412001,1647,62,130,30.1,low_poverty
15000US100010415002,1279,31,88,39.94,low_poverty
15000US100010417012,4104,316,19,32.53,low_poverty
15000US100010417021,2725,162,40,22.86,low_poverty
15000US100010417022,2234,32,132,32.49,low_poverty
15000US100010419002,2205,163,100,36.77,low_poverty
15000US100010422022,4619,454,304,34.4,low_poverty
15000US100010425001,1731,50,134,40.6,low_poverty
15000US100010430002,1845,153,274,38.35,low_poverty
15000US100010433002,1472,23,79,57.61,high_poverty
15000US100019900000,0,0,0,0,low_poverty
15000US100030002002,690,0,0,22.73,low_poverty
15000US100030002004,389,19,13,31.22,low_poverty
15000US100030002005,1456,328,295,73.53,high_poverty
15000US100030003004,1348,143,353,74.89,high_poverty
15000US100030005003,789,74,18,61.35,high_poverty
15000US100030005004,570,17,58,38.95,low_poverty
15000US100030006011,860,116,38,71.54,high_poverty
15000US100030006012,958,51,79,57.82,high_poverty
15000US100030006023,955,23,263,81.45,high_poverty
15000US100030009002,902,81,70,77.27,high_poverty
15000US100030011002,1132,57,51,50.78,low_poverty
15000US100030013003,613,0,20,23.08,low_poverty
15000US100030019021,675,16,119,79.67,high_poverty
15000US100030022001,1413,388,228,90.18,high_poverty
15000US100030022002,860,244,110,66.05,high_poverty
15000US100030023002,1162,213,447,96.88,high_poverty
15000US100030024003,1231,34,179,73.88,high_poverty
15000US100030025002,1224,228,32,54.01,high_poverty
15000US100030026001,686,0,134,40,low_poverty
15000US100030026003,1789,208,644,89.83,high_poverty
15000US100030027001,1068,127,326,75.49,high_poverty
15000US100030027002,1305,174,100,59.77,high_poverty
15000US100030029002,876,395,144,94.68,high_poverty
15000US100030029003,1305,612,280,92.54,high_poverty
15000US100030029004,678,244,44,93.6,high_poverty
15000US100030030022,741,260,184,89.47,high_poverty
15000US100030030023,682,121,95,94.05,high_poverty
