GEOID,C17002e1,C17002e2,C17002e3,poverty
15000US100010402031,3670,148,386,high_poverty
15000US100010405022,1356,2,53,low_poverty
15000US100010412001,1647,62,130,low_poverty
15000US100010415002,1279,31,88,low_poverty
15000US100010417012,4104,316,19,low_poverty
15000US100010417021,2725,162,40,low_poverty
15000US100010417022,2234,32,132,low_poverty
15000US100010419002,2205,163,100,low_poverty
15000US100010422022,4619,454,304,low_poverty
15000US100010425001,1731,50,134,low_poverty
15000US100010430002,1845,153,274,low_poverty
15000US100010433002,1472,23,79,high_poverty
15000US100019900000,0,0,0,low_poverty
15000US100030002002,690,0,0,low_poverty
15000US100030002004,389,19,13,low_poverty
15000US100030002005,1456,328,295,high_poverty
15000US100030003004,1348,143,353,high_poverty
15000US100030005003,789,74,18,high_poverty
15000US100030005004,570,17,58,low_poverty
15000US100030006011,860,116,38,high_poverty
15000US100030006012,958,51,79,high_poverty
15000US100030006023,955,23,263,high_poverty
15000US100030009002,902,81,70,high_poverty
15000US100030011002,1132,57,51,low_poverty
15000US100030013003,613,0,20,low_poverty
15000US100030019021,675,16,119,high_poverty
15000US100030022001,1413,388,228,high_poverty
15000US100030022002,860,244,110,high_poverty
15000US100030023002,1162,213,447,high_poverty
15000US100030024003,1231,34,179,high_poverty
15000US100030025002,1224,228,32,high_poverty
15000US100030026001,686,0,134,low_poverty
15000US100030026003,1789,208,644,high_poverty
15000US100030027001,1068,127,326,high_poverty
15000US100030027002,1305,174,100,high_poverty
15000US100030029002,876,395,144,high_poverty
15000US100030029003,1305,612,280,high_poverty
15000US100030029004,678,244,44,high_poverty
15000US100030030022,741,260,184,high_poverty
15000US100030030023,682,121,95,high_poverty
15000US100030101011,862,280,36,high_poverty
15000US100030101042,1051,172,89,low_poverty
15000US100030103001,962,41,14,low_poverty
15000US100030104002,909,24,28,low_poverty
15000US100030104004,789,0,8,low_poverty
15000US100030105022,1400,35,25,low_poverty
15000US100030107021,1194,204,0,high_poverty
15000US100030107024,748,0,61,low_poverty
15000US100030108001,1396,23,0,low_poverty
15000US100030110003,1033,43,13,low_poverty
15000US100030111002,1973,7,40,low_poverty
15000US100030112012,925,50,45,low_poverty
15000US100030112022,1641,51,27,low_poverty
15000US100030112041,1296,0,10,low_poverty
15000US100030112051,1279,5,14,low_poverty
15000US100030112061,1475,0,17,low_poverty
15000US100030112062,2646,9,7,low_poverty
15000US100030114001,898,0,0,low_poverty
15000US100030115002,972,127,40,low_poverty
15000US100030115003,1142,80,11,low_poverty
15000US100030116001,994,42,55,low_poverty
15000US100030116002,2304,30,14,low_poverty
15000US100030119002,852,18,7,low_poverty
15000US100030120001,814,0,26,low_poverty
15000US100030120002,1692,24,134,high_poverty
15000US100030121002,904,71,32,high_poverty
15000US100030122003,1042,13,32,low_poverty
15000US100030125003,847,62,42,low_poverty
15000US100030125004,1011,66,222,high_poverty
15000US100030127001,1545,90,56,low_poverty
15000US100030127002,643,0,35,high_poverty
15000US100030127004,691,43,201,low_poverty
15000US100030132002,856,0,0,high_poverty
15000US100030134001,654,10,24,low_poverty
15000US100030135011,1069,59,0,low_poverty
15000US100030135014,2280,20,0,low_poverty
15000US100030135031,2185,66,81,low_poverty
15000US100030135032,2141,14,42,low_poverty
15000US100030135033,1798,37,0,low_poverty
15000US100030136041,1303,29,23,low_poverty
15000US100030136042,1441,42,23,low_poverty
15000US100030136104,690,26,0,high_poverty
15000US100030136111,2304,0,112,low_poverty
