@RELATION test

@ATTRIBUTE C17002e1  NUMERIC
@ATTRIBUTE C17002e2   NUMERIC
@ATTRIBUTE C17002e3  NUMERIC
@ATTRIBUTE poverty    {low_poverty,high_poverty}

@data

3670,148,386,high_poverty
1356,2,53,low_poverty
1647,62,130,low_poverty
1279,31,88,low_poverty
4104,316,19,low_poverty
2725,162,40,low_poverty
2234,32,132,low_poverty
2205,163,100,low_poverty
4619,454,304,low_poverty
1731,50,134,low_poverty
1845,153,274,low_poverty
1472,23,79,high_poverty
0,0,0,low_poverty
690,0,0,low_poverty
389,19,13,low_poverty
1456,328,295,high_poverty
1348,143,353,high_poverty
789,74,18,high_poverty
570,17,58,low_poverty
860,116,38,high_poverty
958,51,79,high_poverty
955,23,263,high_poverty
902,81,70,high_poverty
1132,57,51,low_poverty
613,0,20,low_poverty
675,16,119,high_poverty
1413,388,228,high_poverty
860,244,110,high_poverty
1162,213,447,high_poverty
1231,34,179,high_poverty
1224,228,32,high_poverty
686,0,134,low_poverty
1789,208,644,high_poverty
1068,127,326,high_poverty
1305,174,100,high_poverty
876,395,144,high_poverty
1305,612,280,high_poverty
678,244,44,high_poverty
741,260,184,high_poverty
682,121,95,high_poverty
862,280,36,high_poverty
1051,172,89,low_poverty
962,41,14,low_poverty
909,24,28,low_poverty
789,0,8,low_poverty
1400,35,25,low_poverty
1194,204,0,high_poverty
748,0,61,low_poverty
1396,23,0,low_poverty
1033,43,13,low_poverty
1973,7,40,low_poverty
925,50,45,low_poverty
1641,51,27,low_poverty
1296,0,10,low_poverty
1279,5,14,low_poverty
1475,0,17,low_poverty
2646,9,7,low_poverty
898,0,0,low_poverty
972,127,40,low_poverty
1142,80,11,low_poverty
994,42,55,low_poverty
2304,30,14,low_poverty
852,18,7,low_poverty
814,0,26,low_poverty
1692,24,134,high_poverty
904,71,32,high_poverty
1042,13,32,low_poverty
847,62,42,low_poverty
1011,66,222,high_poverty
1545,90,56,low_poverty
643,0,35,high_poverty
691,43,201,low_poverty
856,0,0,high_poverty
654,10,24,low_poverty
1069,59,0,low_poverty
2280,20,0,low_poverty
2185,66,81,low_poverty
2141,14,42,low_poverty
1798,37,0,low_poverty
1303,29,23,low_poverty
1441,42,23,low_poverty
690,26,0,high_poverty
2304,0,112,low_poverty
1156,38,0,low_poverty
2539,4,0,low_poverty
957,47,20,low_poverty
2371,331,260,high_poverty
741,5,0,low_poverty
3297,37,17,low_poverty
1577,19,60,low_poverty
3213,78,14,low_poverty
1375,87,23,low_poverty
